ticker,name,exchange,description
ABVE,Above Food Ingredients Inc.,NASDAQ,"Above Food Ingredients Inc., a regenerative ingredient company, produces vertically integrated supply chain products in Canada, the United States, Mexico, China, France, Turkey, and internationally.It operates through two segments: Disruptive Agriculture and Rudimentary Ingredients, and Consumer Packaged Goods.The Disruptive Agriculture and Rudimentary Ingredients segment engages in the provisioning of discrete genetics, origination, purchasing, grading, processing, and sale of regeneratively grown grain; and origination, purchase, and sale of bespoke ingredients products.The Consumer Packaged Goods segment formulates, manufactures, sells, distributes, and markets proprietary consumer product formulations in owned brands; and focuses on manufacturing and distribution for private-labeled retail owned brands.Above Food Ingredients Inc. is based in Regina, Canada."
ACAB,Atlantic Coastal Acquisition Corp. II,NASDAQ,"Atlantic Coastal Acquisition Corp. II does not have significant operations.It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, recapitalization, reorganization, or similar business combination with one or more businesses in financial services industry and mobility sector.The company was incorporated in 2021 and is based in New York, New York. Atlantic Coastal Acquisition Corp. II is a subsidiary of Atlantic Coastal Acquisition Management II LLC."
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization innovative medicines that address unmet medical needs in central nervous system (CNS) disorders and rare diseases in the United States.The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinsonâs disease psychosis; and DAYBUE, a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 for treatment of Rett Syndrome.It also develops Pimavanserin that is in Phase III ADVANCE-2 study to treat the negative symptoms of schizophrenia; ACP-101 whixh is in Phase III for the treatment of hyperphagia in Prader-Willi syndrome; ACP-204 which is in Phase II for the treatment of Alzheimerâs disease psychosis; ACP-2591 that is in Phase I for Rett syndrome and Fragile X syndrome; preclinical antisense oligonucleotide programs; and other programs for neuropsychiatric symptoms.It has a license agreement with Neuren Pharmaceuticals Limited to develop and commercialize trofinetide for Rett syndrome and other indications; and a license and collaboration agreement with Stoke Therapeutics, Inc. to discover, develop and commercialize novel RNA-based medicines for the potential treatment of severe and rare genetic neurodevelopmental diseases of the CNS.The company was formerly known as Receptor Technologies, Inc. and changed its name ACADIA Pharmaceuticals Inc. in 1997.ACADIA Pharmaceuticals Inc. was incorporated in 1993 and is headquartered in San Diego, California."
ACB,Aurora Cannabis Inc.,NASDAQ,"Aurora Cannabis Inc., together with its subsidiaries, engages in the production, distribution, and sale of cannabis and cannabis-derivative products in Canada and internationally.It operates through two segments, Canadian Cannabis and Plant Propagation. The company offers medical and consumer cannabis products; supplies propagated vegetables and ornamental plants; and distributes and sells hemp-derived cannabidiol (CBD) products.The company also cultivates and sells dried cannabis, cannabis oils, capsules, edible cannabis, cannabis extracts, and soft gels, which are ingested in various ways, including smoking, vaporizing, and consumption in the form of oil, capsules, dried flowers, vapes, dried milled strains, edibles, concentrates, and strain specific cannabis oils and extracts; and provides patient counseling and outreach services.Its adult-use brand portfolio includes Aurora Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard, as well as CBD brands, Reliva and KG7; and medical cannabis brands include MedReleaf, CanniMed, Aurora, Whistler Medical Marijuana Co, Pedanios, Bidiol, and CraftPlant.The company was founded in 2013 and is headquartered in Edmonton, Canada."
ACDC,ProFrac Holding Corp.,NASDAQ,"ProFrac Holding Corp. operates as a technology-focused energy services holding company in the United States.It operates through three segments: Stimulation Services, Manufacturing, and Proppant Production. The company offers hydraulic fracturing, well stimulation, in-basin frac sand, and other completion services and complementary products and services to upstream oil and natural gas companies engaged in the exploration and production of unconventional oil and natural gas resources.It also manufactures and sells high horsepower pumps, valves, piping, swivels, large-bore manifold systems, and fluid ends.ProFrac Holding Corp. was founded in 2016 and is headquartered in Willow Park, Texas."
ACGL,Arch Capital Group Ltd.,NASDAQ,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide.The companyâs Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; directorsâ and officersâ liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workersâ compensation and umbrella liability, as well as commercial automobile and inland marine products.It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employerâs liability; contract and commercial surety coverages; and collateral protection, debt cancellation, and service contract reimbursement products.This segment markets its products through a group of licensed independent retail and wholesale brokers.Its Reinsurance segment provides casualty reinsurance for third party liability exposures; marine and aviation; motor reinsurance, whole account multi-line treaties, cyber, trade credit, surety, accident and health, workersâ compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions.This segment markets its reinsurance products through brokers. The companyâs Mortgage segment offers direct mortgage insurance and mortgage reinsurance.The company was founded in 1995 and is based in Pembroke, Bermuda."
ACHL,Achilles Therapeutics plc,NASDAQ,"Achilles Therapeutics plc, a biopharmaceutical company, develops precision T cell therapies to treat solid tumors.Its platform identifies mutations formed early in the development of cancer. The company offers PELEUS, a proprietary AI-powered bioinformatics platform, used to identify clonal neoantigens in a patient.It also develops CHIRON, which is in Phase I/IIa clinical trial for use in the treatment of advanced non-small cell lung cancer; and THETIS, a product candidate in Phase I/IIa clinical trial for use in the treatment of metastatic or recurrent melanoma.The company was formerly known as Achilles TX Limited and changed its name to Achilles Therapeutics Plc in February 2021.Achilles Therapeutics Plc was founded in 2016 and is headquartered in London, the United Kingdom."
ACHR,Archer Aviation Inc.,NYSE,"Archer Aviation Inc., together with its subsidiaries, engages in designs, develops, and operates electric vertical takeoff and landing aircraft for use in urban air mobility.The company was formerly known as Atlas Crest Investment Corp. and changed its name to Archer Aviation Inc. The company is headquartered in San Jose, California."
ACIC,American Coastal Insurance Corporation,NASDAQ,"American Coastal Insurance Corporation, through its subsidiaries, primarily engages in the commercial and personal property, and casualty insurance business in the United States.The company offers structure, content, and liability coverage for standard single-family homeowners, renters, and condominium unit owners.It also provides commercial multi-peril property insurance for residential condominium associations and apartments, as well as loss or damage to buildings, inventory, and equipment caused by fire, wind, hail, water, theft, and vandalism.In addition, the company offers equipment breakdown, identity theft, and cyber security policies. The company markets and distributes its products through a network of independent agencies.The company was formerly known as United Insurance Holdings Corp. and changed its name to American Coastal Insurance Corporation in August 2023.American Coastal Insurance Corporation was founded in 1999 and is based in Saint Petersburg, Florida."
ACIU,AC Immune SA,NASDAQ,"AC Immune SA, a clinical stage biopharmaceutical company, discovers, designs, and develops medicines and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding.The companyâs SupraAntigen and Morphomer platforms are designed to generate biologics and small molecules, which selectively interact with misfolded proteins that are common in a range of neurodegenerative diseases.It is developing Crenezumab, a humanized, conformation-specific monoclonal antibody used to slow Alzheimerâs disease (AD) progression; and Semorinemab, an investigational monoclonal anti-Tau antibody that targets the N-terminal portion of the Tau protein and is designed to bind to Tau and slow its spread between neurons for the treatment of AD.The company is also developing ACI-24.060 for the treatment of down syndrome-related AD; ACI-7104.056, to treat Parkinsonâs disease; and ACI-35.030, designs to stimulate a patientâs immune system to produce antibodies against pathological phosphorylated Tau.In addition, it is developing diagnostic programs, consisting of PI-2620, a Tau diagnostic for AD, as well as non-AD Tauopathies; and ACI-12589, a-sync PET tracer that supports the differential diagnosis of multiple system atrophy from other neurodegenerative disease.Further, the company is researching and developing Morphomer Tau aggregation inhibitors to evaluate candidates in AD and NeuroOrphan Tauopathies.Additionally, it has discovery and preclinical stage molecules targeting range of neurodegenerative diseases, which include diagnostics targeting TDP-43, alpha-synuclein, and NLRP3.The company has license agreements and collaborations with Genentech, Inc.; Janssen Pharmaceuticals, Inc.; Life Molecular Imaging SA; and Eli Lilly and Company.AC Immune SA was incorporated in 2003 and is headquartered in Lausanne, Switzerland."
ACM,AECOM,NYSE,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services worldwide.It operates in three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to public and private clients.It is also involved in the investment and development of real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction.It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015.AECOM was incorporated in 1980 and is headquartered in Dallas, Texas."
ACN,Accenture plc,NYSE,"Accenture plc, a professional services company, provides strategy and consulting, industry X, song, and technology and operation services worldwide.The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management; intelligent automation comprising robotic process automation, natural language processing, and virtual agents; and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprising turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services.It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services.In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation.Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services.The company has a collaboration with Salesforce, Inc. to develop Salesforce Life Sciences Cloud. The company was founded in 1951 and is based in Dublin, Ireland."
ACNB,ACNB Corporation,NASDAQ,"ACNB Corporation, a financial holding company, offers banking, insurance, and financial services to individual, business, and government customers in the United States.The company provides checking, savings, and money market deposit accounts, as well as time deposits and debit cards.It also offers commercial lending products, such as commercial mortgages, real estate development and construction loans, accounts receivable and inventory financing, and agricultural and governmental loans; consumer lending products, including home equity loans and lines of credit, automobile and recreational vehicle loans, manufactured housing loans, and personal lines of credit; and mortgage lending programs include personal residential mortgages, and residential construction and investment mortgage loans.In addition, the company provides other services that are related to testamentary trusts, life insurance trusts, charitable remainder trusts, guardianships, powers of attorney, custodial accounts, and investment management and advisory accounts; and retail brokerage services.Further, it acts as a trustee to invest in, protect, manage, and distribute financial assets. Additionally, the company offers property and casualty, health, life, and disability insurance products to commercial and personal clients; and online, telephone, and mobile banking, as well as automated teller machine services.ACNB Corporation was founded in 1857 and is headquartered in Gettysburg, Pennsylvania."
ACNT,Ascent Industries Co.,NASDAQ,"Ascent Industries Co. an industrials company, produces and distributes stainless steel pipe and tube and specialty chemicals in the United States and internationally.The company operates through two segments, Tubular Products and Specialty Chemicals. It manufactures welded pipes and tubes, primarily from stainless steel, duplex, and nickel alloys; and ornamental stainless steel tubes for automotive, commercial transportation, marine, food services, construction, furniture, healthcare, and other industries.The company also produces defoamers, surfactants, and lubricating agents for end users, including companies that supply agrochemical paper, metal working, coatings, water treatment, paint, mining, oil and gas, and janitorial and other applications.In addition, it provides contract manufacturing services, as well as operates as a multi-purpose plant to process various difficult to handle materials, including flammable solvents, viscous liquids, and granular solids.The company was formerly known as Synalloy Corporation and changed its name to Ascent Industries Co. in August 2022.Ascent Industries Co. was founded in 1945 and is headquartered in Schaumburg, Illinois."
ACR,ACRES Commercial Realty Corp.,NYSE,"ACRES Commercial Realty Corp., a real estate investment trust (REIT), focuses on the origination, holding, and management of commercial real estate mortgage loans and equity investments in commercial real estate property in the United States.It invests in commercial real estate-related assets, including floating-rate first mortgage loans, first priority interests in first mortgage loans, subordinated interests in first mortgage loans, mezzanine financing, preferred equity investments, and commercial mortgage-backed securities.The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders.The company was formerly known as Exantas Capital Corp. and changed its name to ACRES Commercial Realty Corp. in February 2021.ACRES Commercial Realty Corp. was incorporated in 2005 and is based in Uniondale, New York."
ACRE,Ares Commercial Real Estate Corporation,NYSE,"Ares Commercial Real Estate Corporation, a specialty finance company, originates and invests in commercial real estate (CRE) loans and related investments in the United States.It provides a range of financing solutions for the owners, operators, and sponsors of CRE properties.The company originates senior mortgage loans, subordinate debt and preferred equity products, mezzanine loans, and other CRE investments, including commercial mortgage-backed securities.It has elected and qualified to be taxed as a real estate investment trust for the United States federal income tax purposes under the Internal Revenue Code of 1986.Ares Commercial Real Estate Corporation was incorporated in 2011 and is based in New York, New York."
ACST,Acasti Pharma Inc.,NASDAQ,"Acasti Pharma Inc. engages in the development and commercialization of pharmaceutical products for rare and orphan diseases in Canada.The companyâs lead product candidate is the GTX-104, an intravenous infusion to treat subarachnoid hemorrhage.It also develops GTX-102, an oral mucosal betamethasone spray for the treatment of ataxia-telangiectasia; and GTX-101, a topical bioadhesive film-forming bupivacaine spray for postherpetic neuralgia.The company was incorporated in 2002 and is headquartered in Princeton, New Jersey."
